source,target,weight
Data Scientist,Data Strategy Manager,1
Data Scientist,Analytics Engineer,4
Data Scientist,BI Data Engineer,1
Data Scientist,Machine Learning Research Engineer,2
Data Scientist,Data Manager,4
Data Scientist,Data Science Tech Lead,1
Data Scientist,Data Specialist,3
Data Scientist,Compliance Data Analyst,1
Data Scientist,Applied Machine Learning Engineer,2
Data Scientist,Research Scientist,4
Data Scientist,Manager Data Management,1
Data Scientist,Business Intelligence Developer,3
Data Scientist,Principal Data Scientist,3
Data Scientist,Director of Data Science,3
Data Scientist,Data Visualization Analyst,1
Data Scientist,AI Scientist,4
Data Scientist,Autonomous Vehicle Technician,1
Data Scientist,Quantitative Research Analyst,1
Data Scientist,Finance Data Analyst,2
Data Scientist,Principal Data Engineer,1
Data Scientist,Data Operations Manager,1
Data Scientist,Research Analyst,3
Data Scientist,Principal Data Architect,1
Data Scientist,Machine Learning Specialist,1
Data Scientist,Sales Data Analyst,1
Data Scientist,NLP Engineer,3
Data Scientist,Business Intelligence Lead,1
Data Scientist,Machine Learning Software Engineer,2
Data Scientist,Computer Vision Engineer,3
Data Scientist,Principal Data Analyst,2
Data Scientist,Data Analytics Manager,4
Data Scientist,Software Data Engineer,2
Data Scientist,CRM Data Analyst,1
Data Scientist,Cloud Data Architect,1
Data Scientist,Insight Analyst,2
Data Scientist,AI Programmer,3
Data Scientist,Data Pipeline Engineer,1
Data Scientist,Applied Machine Learning Scientist,3
Data Scientist,Head of Data Science,2
Data Scientist,Data Science Consultant,4
Data Scientist,Marketing Data Engineer,1
Data Scientist,Machine Learning Modeler,1
Data Scientist,Data Integration Developer,1
Data Scientist,Machine Learning Operations Engineer,3
Data Scientist,Managing Director Data Science,1
Data Scientist,Computational Biologist,1
Data Scientist,BI Developer,4
Data Scientist,Staff Data Scientist,1
Data Scientist,Machine Learning Researcher,2
Data Scientist,Data Management Analyst,2
Data Scientist,Research Engineer,3
Data Scientist,Head of Machine Learning,1
Data Scientist,Cloud Database Engineer,2
Data Scientist,Data Analyst Lead,2
Data Scientist,AI Architect,3
Data Scientist,Business Intelligence Manager,2
Data Scientist,ETL Developer,2
Data Scientist,Data Visualization Engineer,1
Data Scientist,Analytics Engineering Manager,1
Data Scientist,Data Science,4
Data Scientist,Data Science Engineer,4
Data Scientist,Business Data Analyst,3
Data Scientist,Data Analytics Engineer,3
Data Scientist,ETL Engineer,2
Data Scientist,Data Developer,3
Data Scientist,BI Data Analyst,4
Data Scientist,Cloud Data Engineer,3
Data Scientist,Data Science Manager,3
Data Scientist,Lead Data Scientist,2
Data Scientist,Data Operations Analyst,3
Data Scientist,Marketing Data Scientist,1
Data Scientist,Applied Data Scientist,3
Data Scientist,Machine Learning Engineer,4
Data Scientist,Financial Data Analyst,2
Data Scientist,Data Science Director,1
Data Scientist,Data Product Manager,2
Data Scientist,Lead Machine Learning Engineer,1
Data Scientist,Robotics Software Engineer,2
Data Scientist,AI Product Manager,2
Data Scientist,Data Architect,3
Data Scientist,AI Developer,3
Data Scientist,Product Data Analyst,3
Data Scientist,Data Operations Associate,2
Data Scientist,Big Data Engineer,3
Data Scientist,Data Scientist Lead,2
Data Scientist,Consultant Data Engineer,1
Data Scientist,Business Intelligence Engineer,3
Data Scientist,Deep Learning Researcher,1
Data Scientist,Data Science Practitioner,2
Data Scientist,AI Software Engineer,1
Data Scientist,Azure Data Engineer,2
Data Scientist,Admin & Data Analyst,3
Data Scientist,AI Research Scientist,2
Data Scientist,Data Quality Analyst,3
Data Scientist,Data Analytics Specialist,2
Data Scientist,Machine Learning Developer,3
Data Scientist,Data Integration Engineer,3
Data Scientist,Data Modeler,2
Data Scientist,Staff Machine Learning Engineer,1
Data Scientist,Data Reporting Analyst,1
Data Scientist,AI Engineer,4
Data Scientist,Data Management Consultant,1
Data Scientist,Encounter Data Management Professional,1
Data Scientist,Data Quality Engineer,2
Data Scientist,Big Data Developer,1
Data Scientist,ML Ops Engineer,1
Data Scientist,Data Analytics Consultant,2
Data Scientist,Data Product Owner,1
Data Scientist,Data Analytics Associate,1
Data Scientist,Data Lead,3
Data Scientist,Computer Vision Software Engineer,3
Data Scientist,Data Strategist,2
Data Scientist,Power BI Developer,1
Data Scientist,Big Data Architect,1
Data Scientist,Data Engineer,4
Data Scientist,Machine Learning Manager,1
Data Scientist,Lead Data Analyst,2
Data Scientist,Data Visualization Specialist,3
Data Scientist,Data Infrastructure Engineer,2
Data Scientist,Business Intelligence Data Analyst,2
Data Scientist,Decision Scientist,2
Data Scientist,Data Science Analyst,1
Data Scientist,Data Analytics Lead,2
Data Scientist,Machine Learning Infrastructure Engineer,2
Data Scientist,Business Intelligence Specialist,2
Data Scientist,Applied Research Scientist,1
Data Scientist,Machine Learning Scientist,4
Data Scientist,Deep Learning Engineer,3
Data Scientist,Head of Data,3
Data Scientist,Business Intelligence Analyst,4
Data Scientist,Business Intelligence,4
Data Scientist,Data Integration Specialist,3
Data Scientist,Principal Machine Learning Engineer,1
Data Scientist,Applied Scientist,3
Data Scientist,Data Operations Engineer,2
Data Scientist,Prompt Engineer,2
Data Scientist,AWS Data Architect,1
Data Scientist,Data Analyst,4
Data Scientist,Data Operations Specialist,2
Data Scientist,Data Modeller,1
Data Scientist,Staff Data Analyst,3
Data Scientist,MLOps Engineer,3
Data Scientist,Data Science Lead,2
Data Scientist,ML Engineer,4
Data Scientist,BI Analyst,3
Data Scientist,Marketing Data Analyst,1
Data Scientist,Robotics Engineer,2
Data Scientist,Lead Data Engineer,3
Data Scientist,Data Management Specialist,2
Data Scientist,Data Quality Manager,1
Data Scientist,AI Research Engineer,2
Data Scientist,Data DevOps Engineer,3
BI Data Analyst,Data Strategy Manager,1
BI Data Analyst,Analytics Engineer,4
BI Data Analyst,BI Data Engineer,1
BI Data Analyst,Machine Learning Research Engineer,2
BI Data Analyst,Data Manager,4
BI Data Analyst,Data Science Tech Lead,1
BI Data Analyst,Data Specialist,3
BI Data Analyst,Compliance Data Analyst,1
BI Data Analyst,Applied Machine Learning Engineer,2
BI Data Analyst,Research Scientist,4
BI Data Analyst,Manager Data Management,1
BI Data Analyst,Business Intelligence Developer,3
BI Data Analyst,Principal Data Scientist,3
BI Data Analyst,Director of Data Science,3
BI Data Analyst,Data Visualization Analyst,1
BI Data Analyst,AI Scientist,4
BI Data Analyst,Autonomous Vehicle Technician,1
BI Data Analyst,Quantitative Research Analyst,1
BI Data Analyst,Finance Data Analyst,2
BI Data Analyst,Principal Data Engineer,1
BI Data Analyst,Data Operations Manager,1
BI Data Analyst,Research Analyst,3
BI Data Analyst,Principal Data Architect,1
BI Data Analyst,Machine Learning Specialist,1
BI Data Analyst,Sales Data Analyst,1
BI Data Analyst,NLP Engineer,3
BI Data Analyst,Business Intelligence Lead,1
BI Data Analyst,Machine Learning Software Engineer,2
BI Data Analyst,Computer Vision Engineer,3
BI Data Analyst,Principal Data Analyst,2
BI Data Analyst,Data Analytics Manager,4
BI Data Analyst,Software Data Engineer,2
BI Data Analyst,CRM Data Analyst,1
BI Data Analyst,Cloud Data Architect,1
BI Data Analyst,Insight Analyst,2
BI Data Analyst,AI Programmer,3
BI Data Analyst,Data Pipeline Engineer,1
BI Data Analyst,Applied Machine Learning Scientist,3
BI Data Analyst,Head of Data Science,2
BI Data Analyst,Data Science Consultant,4
BI Data Analyst,Marketing Data Engineer,1
BI Data Analyst,Machine Learning Modeler,1
BI Data Analyst,Data Integration Developer,1
